request_id,barangay,municipality,province,sitio,request_type,urgency_level,severity_level,impact_scope,location_type,time_reported,weather_condition,past_similar_reports,ml_priority,final_priority
30,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Low,Minor,119,Residential Area,Night,Storm,0,High,High
31,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Low,Minor,24,Highway,Morning,Rainy,0,Low,Low
32,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Minor,43,Highway,Afternoon,Rainy,7,High,High
33,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Low,Moderate,40,Public Facility,Night,Storm,0,High,High
34,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Low,Minor,81,Public Facility,Night,Normal,0,High,High
35,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Road Damage,Low,Minor,131,School Zone,Afternoon,Normal,3,High,High
36,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Minor,149,Highway,Night,Storm,5,High,High
37,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Low,Severe,67,School Zone,Afternoon,Rainy,2,High,High
38,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Normal,Moderate,77,Residential Area,Afternoon,Storm,1,High,High
39,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Urgent,Minor,19,School Zone,Afternoon,Normal,3,Low,High
40,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Minor,95,Public Facility,Night,Storm,0,High,High
41,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Normal,Severe,142,Commercial Area,Morning,Normal,2,High,High
42,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Normal,Severe,70,School Zone,Night,Storm,4,High,High
43,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Normal,Moderate,130,Residential Area,Night,Rainy,4,High,High
44,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Low,Moderate,12,Commercial Area,Morning,Storm,7,Moderate,High
45,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Streetlight Repair,Urgent,Moderate,142,Residential Area,Morning,Storm,2,High,High
46,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Low,Moderate,140,Highway,Morning,Normal,4,High,High
47,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Garbage Collection,Low,Moderate,94,Residential Area,Afternoon,Storm,6,High,High
48,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Low,Minor,40,Highway,Morning,Normal,5,High,High
49,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Garbage Collection,Urgent,Severe,106,Commercial Area,Morning,Storm,1,High,High
50,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Garbage Collection,Low,Moderate,98,Highway,Afternoon,Rainy,3,High,High
51,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Low,Severe,58,Commercial Area,Afternoon,Normal,4,High,High
52,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Urgent,Severe,90,Residential Area,Morning,Rainy,2,High,High
53,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Normal,Minor,149,Commercial Area,Night,Rainy,6,High,High
54,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Moderate,131,Commercial Area,Morning,Storm,6,High,High
55,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Garbage Collection,Urgent,Severe,1,Commercial Area,Afternoon,Normal,5,High,High
56,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Urgent,Minor,81,Public Facility,Afternoon,Storm,6,High,High
57,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Normal,Severe,84,School Zone,Afternoon,Storm,6,High,High
58,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Urgent,Severe,45,Public Facility,Morning,Rainy,4,High,High
59,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Severe,54,Highway,Afternoon,Rainy,3,High,High
60,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Normal,Severe,131,Commercial Area,Night,Storm,5,High,High
61,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Severe,24,School Zone,Morning,Normal,0,Low,High
62,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Normal,Severe,63,Highway,Afternoon,Storm,3,High,High
63,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Normal,Moderate,99,Residential Area,Morning,Rainy,3,High,High
64,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Urgent,Severe,46,Public Facility,Morning,Normal,7,High,High
65,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Severe,35,Highway,Night,Storm,6,High,High
66,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Normal,Minor,141,Highway,Afternoon,Normal,4,High,High
67,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Normal,Severe,134,Highway,Morning,Storm,4,High,High
68,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Moderate,61,School Zone,Morning,Normal,6,High,High
69,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Urgent,Minor,40,Highway,Afternoon,Storm,7,High,High
70,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Low,Minor,107,Highway,Night,Storm,0,High,High
71,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Normal,Moderate,148,Commercial Area,Afternoon,Rainy,3,High,High
72,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Low,Moderate,125,Residential Area,Afternoon,Rainy,6,High,High
73,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Streetlight Repair,Normal,Minor,43,Highway,Night,Storm,0,High,High
74,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Public Safety Incident,Urgent,Moderate,22,School Zone,Morning,Rainy,6,Moderate,High
75,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Power Outage,Low,Moderate,84,Highway,Afternoon,Rainy,4,High,High
76,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Normal,Minor,21,Commercial Area,Morning,Storm,1,Moderate,Moderate
77,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Low,Minor,11,Public Facility,Morning,Normal,2,Low,Low
78,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Urgent,Minor,122,Highway,Night,Rainy,5,High,High
79,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Urgent,Severe,43,School Zone,Afternoon,Normal,0,High,High
80,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Tree Obstruction,Urgent,Severe,80,School Zone,Morning,Storm,3,High,High
81,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Urgent,Moderate,27,Public Facility,Morning,Rainy,6,Moderate,Moderate
82,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Low,Severe,95,Residential Area,Afternoon,Rainy,1,High,High
83,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Normal,Severe,111,School Zone,Afternoon,Normal,4,High,High
84,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Moderate,138,Commercial Area,Morning,Normal,4,High,High
85,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Low,Moderate,116,Commercial Area,Morning,Rainy,5,High,High
86,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Normal,Minor,47,Commercial Area,Afternoon,Storm,4,High,High
87,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Low,Severe,143,School Zone,Night,Rainy,7,High,High
88,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Low,Severe,143,Highway,Morning,Normal,4,High,High
89,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Normal,Severe,57,Public Facility,Afternoon,Rainy,5,High,High
90,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Power Outage,Urgent,Severe,109,Highway,Afternoon,Rainy,4,High,High
91,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Low,Severe,60,Residential Area,Night,Storm,2,High,High
92,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Low,Severe,50,Public Facility,Night,Storm,4,High,High
93,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Low,Moderate,26,School Zone,Afternoon,Normal,2,Moderate,High
94,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Low,Minor,71,School Zone,Night,Rainy,1,High,High
95,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Moderate,4,Highway,Afternoon,Normal,0,Moderate,Moderate
96,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Normal,Minor,65,Highway,Afternoon,Normal,0,High,High
97,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Low,Severe,39,School Zone,Morning,Storm,6,High,High
98,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Moderate,58,Commercial Area,Night,Rainy,4,High,High
99,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Urgent,Minor,146,School Zone,Night,Normal,4,High,High
100,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Low,Minor,21,School Zone,Morning,Rainy,7,Low,High
101,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Water Leakage,Normal,Minor,121,Commercial Area,Night,Rainy,1,High,High
102,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Normal,Severe,60,Highway,Morning,Storm,3,High,High
103,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Streetlight Repair,Normal,Minor,39,School Zone,Afternoon,Storm,4,High,High
104,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Low,Moderate,113,Highway,Afternoon,Storm,7,High,High
105,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Low,Severe,113,Commercial Area,Night,Rainy,0,High,High
106,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Low,Severe,24,Commercial Area,Night,Normal,2,Low,High
107,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Urgent,Severe,121,School Zone,Night,Rainy,7,High,High
108,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Normal,Moderate,24,Commercial Area,Night,Normal,2,Moderate,Moderate
109,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Water Leakage,Normal,Severe,85,Highway,Night,Normal,7,High,High
110,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Moderate,23,Highway,Night,Normal,7,Moderate,Moderate
111,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Low,Minor,106,Public Facility,Afternoon,Storm,7,High,High
112,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Low,Moderate,14,Commercial Area,Afternoon,Storm,7,Moderate,High
113,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Garbage Collection,Low,Severe,32,School Zone,Afternoon,Storm,0,High,High
114,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Normal,Minor,142,Highway,Morning,Storm,2,High,High
115,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Urgent,Moderate,128,Highway,Afternoon,Rainy,3,High,High
116,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Urgent,Minor,117,Public Facility,Night,Storm,2,High,High
117,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Normal,Moderate,18,Residential Area,Afternoon,Storm,4,Moderate,Moderate
118,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Urgent,Moderate,149,Highway,Night,Rainy,5,High,High
119,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Severe,86,Commercial Area,Morning,Storm,3,High,High
120,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Normal,Minor,147,Residential Area,Afternoon,Storm,7,High,High
121,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Normal,Severe,98,Highway,Morning,Normal,5,High,High
122,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Public Safety Incident,Normal,Minor,26,Residential Area,Night,Normal,6,Moderate,Moderate
123,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Water Leakage,Low,Moderate,40,Commercial Area,Night,Storm,6,High,High
124,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Normal,Severe,21,Commercial Area,Night,Storm,7,Moderate,Moderate
125,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Low,Severe,139,Commercial Area,Morning,Storm,1,High,High
126,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Low,Severe,112,Highway,Morning,Storm,4,High,High
127,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Low,Moderate,8,Commercial Area,Afternoon,Rainy,6,Moderate,Moderate
128,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Low,Severe,38,School Zone,Morning,Normal,6,High,High
129,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Garbage Collection,Normal,Severe,62,Highway,Night,Rainy,7,High,High
130,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Urgent,Minor,66,Commercial Area,Night,Storm,2,High,High
131,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Water Leakage,Normal,Moderate,19,Highway,Night,Rainy,7,Moderate,Moderate
132,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Low,Moderate,78,Residential Area,Morning,Rainy,5,High,High
133,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Streetlight Repair,Normal,Severe,148,Highway,Afternoon,Normal,0,High,High
134,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Normal,Minor,128,School Zone,Night,Normal,4,High,High
135,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Urgent,Minor,36,Commercial Area,Afternoon,Normal,5,High,High
136,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Tree Obstruction,Low,Moderate,34,School Zone,Morning,Normal,5,High,High
137,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Urgent,Moderate,136,Commercial Area,Afternoon,Rainy,5,High,High
138,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Garbage Collection,Normal,Minor,30,Highway,Night,Rainy,1,Moderate,Moderate
139,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Low,Moderate,102,Highway,Afternoon,Storm,4,High,High
140,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Severe,150,School Zone,Afternoon,Normal,5,High,High
141,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Public Safety Incident,Urgent,Minor,57,Commercial Area,Night,Rainy,1,High,High
142,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Public Safety Incident,Low,Minor,36,Residential Area,Morning,Normal,2,High,High
143,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Tree Obstruction,Normal,Moderate,100,Public Facility,Night,Storm,2,High,High
144,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Public Safety Incident,Urgent,Minor,107,Public Facility,Afternoon,Rainy,0,High,High
145,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Garbage Collection,Low,Moderate,95,Commercial Area,Morning,Storm,5,High,High
146,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Urgent,Moderate,140,Commercial Area,Morning,Normal,7,High,High
147,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Urgent,Minor,24,Residential Area,Afternoon,Normal,2,Low,Low
148,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Garbage Collection,Low,Minor,145,Public Facility,Morning,Normal,5,High,High
149,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Flooding,Urgent,Minor,38,School Zone,Night,Rainy,2,High,High
150,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Urgent,Minor,29,Commercial Area,Morning,Storm,5,Low,Low
151,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Flooding,Low,Moderate,5,Highway,Night,Normal,1,Moderate,Moderate
152,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Road Damage,Normal,Moderate,122,Highway,Night,Normal,0,High,High
153,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Streetlight Repair,Normal,Moderate,134,Residential Area,Afternoon,Rainy,6,High,High
154,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Normal,Severe,28,Residential Area,Afternoon,Storm,2,Moderate,Moderate
155,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Low,Moderate,17,Highway,Night,Storm,4,Moderate,Moderate
156,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Urgent,Severe,117,Residential Area,Night,Storm,3,High,High
157,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Normal,Minor,111,Highway,Afternoon,Rainy,1,High,High
158,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Water Leakage,Normal,Moderate,81,Commercial Area,Morning,Storm,7,High,High
159,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Low,Minor,18,Residential Area,Night,Storm,5,Low,Low
160,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Power Outage,Urgent,Minor,34,Residential Area,Afternoon,Rainy,6,High,High
161,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Power Outage,Normal,Severe,14,Residential Area,Night,Storm,3,Moderate,Moderate
162,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Road Damage,Urgent,Moderate,40,Commercial Area,Night,Rainy,1,High,High
163,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Tree Obstruction,Urgent,Minor,72,Public Facility,Night,Storm,0,High,High
164,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Water Leakage,Low,Minor,69,Commercial Area,Afternoon,Normal,2,High,High
165,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Road Damage,Urgent,Severe,37,School Zone,Night,Storm,0,High,High
166,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Tree Obstruction,Urgent,Severe,24,Highway,Afternoon,Rainy,2,High,High
167,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Road Damage,Normal,Severe,95,Residential Area,Morning,Normal,0,High,High
168,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Tree Obstruction,Normal,Moderate,21,Highway,Night,Rainy,6,Moderate,Moderate
169,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Low,Severe,70,Highway,Morning,Rainy,7,High,High
170,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Urgent,Moderate,135,Highway,Night,Normal,0,High,High
171,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Normal,Minor,53,Commercial Area,Afternoon,Rainy,1,High,High
172,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Flooding,Normal,Severe,2,School Zone,Afternoon,Storm,3,Moderate,High
173,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Power Outage,Urgent,Severe,129,Residential Area,Afternoon,Storm,0,High,High
174,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Low,Moderate,112,Public Facility,Afternoon,Storm,6,High,High
175,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Streetlight Repair,Normal,Minor,107,Commercial Area,Morning,Storm,7,High,High
176,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Road Damage,Low,Moderate,93,School Zone,Afternoon,Storm,6,High,High
177,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Water Leakage,Low,Moderate,135,Commercial Area,Morning,Rainy,2,High,High
178,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Garbage Collection,Urgent,Severe,20,Commercial Area,Afternoon,Storm,2,High,High
179,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Minor,61,School Zone,Night,Normal,1,High,High
180,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Public Safety Incident,Urgent,Moderate,46,Public Facility,Night,Storm,5,High,High
181,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Public Safety Incident,Low,Moderate,81,Highway,Night,Rainy,4,High,High
182,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Water Leakage,Normal,Severe,15,Highway,Afternoon,Normal,0,Moderate,Moderate
183,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Road Damage,Normal,Minor,95,Public Facility,Night,Storm,6,High,High
184,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Streetlight Repair,Urgent,Severe,119,Highway,Night,Storm,3,High,High
185,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Flooding,Urgent,Moderate,83,Residential Area,Afternoon,Normal,5,High,High
186,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Streetlight Repair,Urgent,Severe,22,School Zone,Night,Rainy,7,High,High
187,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Power Outage,Urgent,Severe,135,Commercial Area,Afternoon,Rainy,6,High,High
188,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Urgent,Severe,87,Residential Area,Afternoon,Normal,6,High,High
189,Bagumbayan,Santa Cruz,Laguna,Sitio 7,Flooding,Normal,Severe,73,Commercial Area,Morning,Storm,2,High,High
190,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Tree Obstruction,Normal,Severe,90,School Zone,Night,Storm,1,High,High
191,Bagumbayan,Santa Cruz,Laguna,Sitio 6,Power Outage,Urgent,Moderate,80,School Zone,Night,Storm,1,High,High
192,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Power Outage,Urgent,Moderate,109,Commercial Area,Morning,Normal,5,High,High
193,Bagumbayan,Santa Cruz,Laguna,Sitio 2,Flooding,Low,Minor,125,Residential Area,Afternoon,Normal,0,High,High
194,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Urgent,Minor,87,School Zone,Morning,Normal,2,High,High
195,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Low,Moderate,113,Highway,Night,Rainy,7,High,High
196,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Public Safety Incident,Urgent,Minor,60,School Zone,Afternoon,Storm,7,High,High
197,Bagumbayan,Santa Cruz,Laguna,Sitio 5,Tree Obstruction,Normal,Moderate,119,School Zone,Morning,Storm,2,High,High
198,Bagumbayan,Santa Cruz,Laguna,Sitio 4,Power Outage,Low,Severe,65,Public Facility,Morning,Storm,1,High,High
199,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Public Safety Incident,Low,Minor,73,Public Facility,Morning,Rainy,1,High,High
200,Bagumbayan,Santa Cruz,Laguna,Sitio 1,Tree Obstruction,Normal,Moderate,57,Residential Area,Afternoon,Storm,5,High,High
201,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Garbage Collection,Normal,Minor,61,Residential Area,Afternoon,Normal,5,High,High
202,Bagumbayan,Santa Cruz,Laguna,Sitio 3,Public Safety Incident,Low,Minor,38,School Zone,Night,Rainy,7,High,High
